ID externo,Adaia Type,Campo Adaia,Campo Odoo (si existe),Caracter de relleno,Display Name,Fin cadena,Inicio cadena,L. Decimal,L. Entera,Longitud,Obligatorio,Odoo Model,Sequence,Sga File,V. por defecto
__export__.sgavar_file_var_646_dba4da85,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,EXPORDREF,21,7,0,15,15,True,mrp.model_stock_move_line,2,7,
__export__.sgavar_file_var_713_11dcc9eb,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,EXPORDREF,21,7,0,15,15,True,mrp.model_stock_move_line,2,8,
__export__.sgavar_file_var_724_0b2b441d,Alfanumerico,TERREF,base.field_res_partner_ref, ,TERREF,22,7,0,16,16,True,rappel.model_res_partner,2,9,
__export__.sgavar_file_var_789_2d81d6ab,Alfanumerico,TERREF,base.field_res_partner_ref, ,TERREF,22,7,0,16,16,True,rappel.model_res_partner,2,10,
__export__.sgavar_file_var_854_1a1addfc,Alfanumerico,TERREF,base.field_res_partner_ref, ,TERREF,22,7,0,16,16,True,rappel.model_res_partner,2,11,
__export__.sgavar_file_var_877_df1daf8c,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_product,2,12,
__export__.sgavar_file_var_913_c9917097,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_product,2,13,
__export__.sgavar_file_var_949_f9a22a48,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_product,2,14,
__export__.sgavar_file_var_985_ce2cb31e,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_template,2,15,
__export__.sgavar_file_var_1002_2bee76a3,Alfanumerico,ARTREF,product.field_product_template_default_code,,ARTREF,22,7,0,16,16,True,mrp.model_product_template,2,16,
__export__.sgavar_file_var_1019_07e9e54f,Alfanumerico,ARTREF,product.field_product_template_default_code,,ARTREF,22,7,0,16,16,True,mrp.model_product_template,2,17,
__export__.sgavar_file_var_1036_b8ecf993,Alfanumerico,ARTPRIREF,product.field_product_product_default_code, ,ARTPRIREF,22,7,0,16,16,True,mrp.model_product_product,2,18,
__export__.sgavar_file_var_1041_8e44a668,Alfanumerico,ARTPRIREF,product.field_product_product_default_code, ,ARTPRIREF,22,7,0,16,16,True,mrp.model_product_product,2,19,
__export__.sgavar_file_var_1046_f90fc93d,Alfanumerico,ARTPRIREF,product.field_product_product_default_code, ,ARTPRIREF,22,7,0,16,16,True,mrp.model_product_product,2,20,
__export__.sgavar_file_var_1049_5a3f4dde,Related-Alfanumérico,ARTREF,stock.field_stock_quant_product_id, ,ARTREF,22,7,0,16,16,True,stock.model_stock_quant,2,21,default_code
__export__.sgavar_file_var_1090_fb96c86f,Related-Numérico,ALMREF,stock.field_stock_move_line_location_id, ,ALMREF,30,22,0,9,9,True,mrp.model_stock_move_line,2,22,id
__export__.sgavar_file_var_557_8b6b0e20,Related-Alfanumérico,ALMREF,stock.field_stock_picking_location_dest_id, ,ALMREF,24,23,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,3,1,id
__export__.sgavar_file_var_572_325b52ce,Related-Numérico,ALMREF,stock.field_stock_picking_location_dest_id, ,ALMREF,17,16,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,3,2,id
__export__.sgavar_file_var_584_7b43f07a,Alfanumerico,EXPORDREF,stock.field_stock_picking_name, ,EXPORDREF,21,7,0,15,15,True,mrp_bom_phantom_fix.model_stock_picking,3,3,
__export__.sgavar_file_var_604_565bdd97,Related-Numérico,ALMREF,stock.field_stock_picking_location_id, ,ALMREF,23,22,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,3,4,id
__export__.sgavar_file_var_619_1a49ce0f,Alfanumerico,ARTREF,, ,ARTREF,38,23,0,16,16,True,mrp.model_stock_move_line,3,5,
__export__.sgavar_file_var_635_9b906b1b,Alfanumerico,ARTREF,, ,ARTREF,38,23,0,16,16,True,mrp.model_stock_move_line,3,6,
__export__.sgavar_file_var_647_70eb599c,Numerico,EXPORDLIN,stock.field_stock_move_line_id, ,EXPORDLIN,30,22,0,9,9,False,mrp.model_stock_move_line,3,7,
__export__.sgavar_file_var_714_8bc77521,Numerico,EXPORDLIN,stock.field_stock_move_line_id, ,EXPORDLIN,30,22,0,9,9,True,mrp.model_stock_move_line,3,8,
__export__.sgavar_file_var_725_424130f0,Alfanumerico,TERDES,base.field_res_partner_name, ,TERDES,62,23,0,40,40,True,rappel.model_res_partner,3,9,
__export__.sgavar_file_var_790_b8071717,Alfanumerico,TERDES,base.field_res_partner_name, ,TERDES,62,23,0,40,40,True,rappel.model_res_partner,3,10,
__export__.sgavar_file_var_855_bbc178bf,Alfanumerico,TERDES,base.field_res_partner_name, ,TERDES,62,23,0,40,40,True,rappel.model_res_partner,3,11,
__export__.sgavar_file_var_878_344a1b80,Alfanumerico,ARTDES,product.field_product_template_name, ,ARTDES,62,23,0,40,40,True,mrp.model_product_product,3,12,
__export__.sgavar_file_var_914_1124088f,Alfanumerico,ARTDES,product.field_product_template_name, ,ARTDES,62,23,0,40,40,True,mrp.model_product_product,3,13,
__export__.sgavar_file_var_950_e6ac939b,Alfanumerico,ARTDES,product.field_product_template_name, ,ARTDES,62,23,0,40,40,True,mrp.model_product_product,3,14,
__export__.sgavar_file_var_986_62e7c633,Alfanumerico,UNITIP,, ,UNITIP,26,23,0,4,4,True,mrp.model_product_template,3,15,UD
__export__.sgavar_file_var_1003_afe08033,Alfanumerico,UNITIP,,,UNITIP,26,23,0,4,4,True,mrp.model_product_template,3,16,UD
__export__.sgavar_file_var_1020_6562eb74,Alfanumerico,UNITIP,,,UNITIP,26,23,0,4,4,True,mrp.model_product_template,3,17,UD
__export__.sgavar_file_var_1037_b7590338,Alfanumerico,EANCOD,product.field_product_product_barcode, ,EANCOD,36,23,0,14,14,True,mrp.model_product_product,3,18,
__export__.sgavar_file_var_1042_d93aed58,Alfanumerico,EANCOD,product.field_product_product_barcode, ,EANCOD,36,23,0,14,14,True,mrp.model_product_product,3,19,
__export__.sgavar_file_var_1047_ad28071e,Alfanumerico,EANCOD,product.field_product_product_barcode, ,EANCOD,36,23,0,14,14,True,mrp.model_product_product,3,20,
__export__.sgavar_file_var_1052_1c366f40,Related-Alfanumérico,ALMREF,stock.field_product_product_location_id, ,ALMREF,24,23,0,2,2,True,stock.model_stock_quant,3,21,id
__export__.sgavar_file_var_1091_d47e0fea,Related-Numérico,ARTREF,stock.field_stock_move_line_product_id, ,ARTREF,46,31,0,16,16,True,mrp.model_stock_move_line,3,22,reference
__export__.sgavar_file_var_558_5c5846d0,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,TERREF,40,25,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,4,1,id
__export__.sgavar_file_var_573_b547d03a,Alfanumerico,RECORDREF,stock.field_stock_picking_name, ,RECORDREF,33,18,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,4,2,
__export__.sgavar_file_var_585_3401c89c,Related-Numérico,ALMREF,stock.field_stock_picking_location_id, ,ALMREF,23,22,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,4,3,id
__export__.sgavar_file_var_605_00359abb,Related-Alfanumérico,TERREF,stock.field_stock_picking_company_id, ,TERREF,39,24,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,4,4,id
__export__.sgavar_file_var_620_04c1127f,Numerico,CANPED,stock.field_stock_move_line_ordered_qty, ,CANPED,47,39,0,9,9,True,mrp.model_stock_move_line,4,5,
__export__.sgavar_file_var_636_a5777eaa,Related-Numérico,CANREC,stock.field_stock_move_line_product_uom_id, ,CANREC,47,39,0,9,9,True,mrp.model_stock_move_line,4,6,factor
__export__.sgavar_file_var_648_42d9bffb,Alfanumerico,ARTREF,, ,ARTREF,46,31,0,16,16,True,mrp.model_stock_move_line,4,7,
__export__.sgavar_file_var_715_51f32d0e,Related-Numérico,ARTREF,stock.field_stock_move_line_product_id, ,ARTREF,46,31,0,16,16,True,mrp.model_stock_move_line,4,8,reference
__export__.sgavar_file_var_726_e291b293,Alfanumerico,TERPRIREF,, ,TERPRIREF,78,63,0,16,16,False,rappel.model_res_partner,4,9,
__export__.sgavar_file_var_791_615e638d,Alfanumerico,TERPRIREF,, ,TERPRIREF,78,63,0,16,16,False,rappel.model_res_partner,4,10,
__export__.sgavar_file_var_859_629fb783,Alfanumerico,TERPRIREF,, ,TERPRIREF,78,63,0,16,16,False,rappel.model_res_partner,4,11,
__export__.sgavar_file_var_879_3d494ae3,Alfanumerico,ARTPRIREF,, ,ARTPRIREF,78,63,0,16,16,False,mrp.model_product_product,4,12,
__export__.sgavar_file_var_915_b73d3e29,Alfanumerico,ARTPRIREF,, ,ARTPRIREF,78,63,0,16,16,False,mrp.model_product_product,4,13,
__export__.sgavar_file_var_951_9218bba9,Alfanumerico,ARTPRIREF,, ,ARTPRIREF,78,63,0,16,16,False,mrp.model_product_product,4,14,
__export__.sgavar_file_var_987_a4618ea6,Numerico,NUMUNI,, ,NUMUNI,34,27,0,8,8,True,mrp.model_product_template,4,15,1
__export__.sgavar_file_var_1004_cf9112ae,Numerico,NUMUNI,,,NUMUNI,34,27,3,5,8,True,mrp.model_product_template,4,16,1
