id,version_active,file_bytes,create_date,create_uid/id,cte_name,model,file_filter,odoo_model/id,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/create_date,sga_file_var_ids/create_uid/id,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default,sga_file_var_ids/write_uid/id,sga_file_var_ids/write_date,description,code,version,write_uid/id,write_date
,,,,,,,,,__export__.sgavar_file_var_1005_bbea45fd,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids,,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,19,MLO,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_4_48d6546f,False,264,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,Confirmación de expedición,Transferir,,sga_ulma_integration.model_stock_picking,__export__.sgavar_file_var_644_dab0b21c,Alfanumerico,EXPORDSUBTIP,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,63,60,0,4,4,sga_ulma_integration.model_stock_picking,False,7,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,OUT,1,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_1148_153jdb6w,Alfanumerico,ALBARA,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,75,64,0,12,12,sga_ulma_integration.model_stock_picking,False,8,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_617_52f6f4f2,Fecha,FECEXP,stock.field_stock_picking_scheduled_date, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,83,76,0,8,8,sga_ulma_integration.model_stock_picking,False,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1134_2ztc1r0n,Hora,HOREXP,stock.field_stock_picking_scheduled_date, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,87,84,0,4,4,sga_ulma_integration.model_stock_picking,False,10,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_724_0b2b441d,Alfanumerico,OBS,stock.field_stock_picking_note, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,127,88,0,40,40,sga_ulma_integration.model_stock_picking,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3343_19defafd,Alfanumerico,PRVCAMCOM,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,286,128,0,160,160,sga_ulma_integration.model_stock_picking,True,12,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1091_d47e0fea,Alfanumerico,AGROEXGENACC,,,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,301,287,0,166,16,sga_ulma_integration.model_stock_picking,False,13,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1167_4f4begk1,one2many,MOVE_LINE,stock.field_stock_picking_move_line_ids,,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,14,CEL,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1043_5eefa9aa,one2many,CONTENT_LINES,stock.field_stock_picking_move_line_ids, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,15,CEN,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_41_262f912d,False,63,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,"Batch por picks, salida",Operación de empaquetado,,sga_ulma_integration.model_stock_move_line,__export__.sgavar_file_var_711_242cc1f9,Related-Numérico,PESPED,stock.field_stock_move_line_product_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,68,60,3,3,6,sga_ulma_integration.model_stock_move_line,False,7,weight,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,BPO,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_1164_1wgf3blp,Related-Numérico,PRECOM,stock.field_stock_move_line_product_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,77,69,2,7,9,sga_ulma_integration.model_stock_move_line,False,8,standard_price,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_633_a326107c,Alfanumerico,ADMCANMAY,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,78,78,0,1,1,sga_ulma_integration.model_stock_move_line,False,9,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1149_28bngdkv,Alfanumerico,ADMCANMEN,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,79,79,0,1,1,sga_ulma_integration.model_stock_move_line,False,10,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_789_2d81d6ab,Alfanumerico,IGNCAD,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,80,80,0,1,1,sga_ulma_integration.model_stock_move_line,False,11,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3356_c3b67019,Alfanumerico,CTRCAL,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,81,81,0,1,1,sga_ulma_integration.model_stock_move_line,False,12,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_790_b8071717,Numérico,RECORDLIN,stock.field_stock_move_line_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,90,82,0,9,9,sga_ulma_integration.model_stock_move_line,False,13,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3329_d5e342a2,Numérico,ADMCANMAYPOR,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,93,91,0,3,3,sga_ulma_integration.model_stock_move_line,False,14,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_648_42d9bffb,Alfanumerico,LOTE,stock.field_stock_move_line_lot_name, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,103,94,0,20,20,sga_ulma_integration.model_stock_move_line,False,15,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_42_a2c28e95,False,145,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,"Movimiento de Stock, Salida",Operación de empaquetado,,sga_ulma_integration.model_stock_move_line,__export__.sgavar_file_var_722_9da5b58c,Related-Numérico,PRECOM,product.field_product_product_weight, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,69,61,2,7,9,sga_ulma_integration.model_stock_move_line,False,7,standard_price,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,MLO,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_3326_9c48a10d,Numérico,PESPRO,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,78,70,3,6,9,sga_ulma_integration.model_stock_move_line,False,8,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_645_ad28f32a,Numérico,RECORDLIN,stock.field_stock_move_line_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,77,79,0,9,9,sga_ulma_integration.model_stock_move_line,False,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1165_2ied3vav,Alfanumerico,LOTE,stock.field_stock_move_line_lot_name, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,107,88,0,20,20,sga_ulma_integration.model_stock_move_line,False,10,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_854_1a1addfc,Alfanumerico,INCIDENCIA,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,167,108,0,60,60,sga_ulma_integration.model_stock_move_line,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_7_6f93f9af,False,122,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,"Orden de expedición, líneas",Operación de empaquetado,,sga_ulma_integration.model_stock_move_line,__export__.sgavar_file_var_782_72d46038,Related-Numérico,NUMUNI,stock.field_stock_move_line_product_uom_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,67,60,0,8,8,sga_ulma_integration.model_stock_move_line,True,7,factor,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,OEL,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_3341_ad7951f2,Related-Numérico,PESPED,stock.field_stock_move_line_product_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,76,68,3,6,9,sga_ulma_integration.model_stock_move_line,False,8,weight,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_712_919e1d13,Related-Numérico,PREVEN,stock.field_stock_move_line_product_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,85,77,2,7,9,sga_ulma_integration.model_stock_move_line,False,9,standard_price,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3327_7c706063,Related-Alfanumérico,OBS,stock.field_stock_move_line_picking_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,125,86,0,40,40,sga_ulma_integration.model_stock_move_line,False,10,note,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_877_df1daf8c,Alfanumerico,LOTE,stock.field_stock_move_line_lot_name, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,145,126,0,20,20,sga_ulma_integration.model_stock_move_line,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3373_2bb2b45a,Alfanumerico,KIT,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,146,146,0,1,1,sga_ulma_integration.model_stock_move_line,False,12,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_855_bbc178bf,Numérico,VIDAUTILMIN,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,149,147,0,3,3,sga_ulma_integration.model_stock_move_line,False,13,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3344_45b04eba,Numérico,VIDAUTILMAX,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,152,150,0,3,3,sga_ulma_integration.model_stock_move_line,False,14,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_44_d9a664dc,False,238,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,"Orden de salida, salida",Operación de empaquetado,,sga_ulma_integration.model_stock_move_line,__export__.sgavar_file_var_852_b42ca0bb,Alfanumerico,TIPUNI,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,68,65,0,4,4,sga_ulma_integration.model_stock_move_line,True,7,UD,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,OLO,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_3354_5d1ac02c,Related-Numérico,PESSER,product.field_product_product_weight, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,77,69,3,6,9,sga_ulma_integration.model_stock_move_line,False,8,weight,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_723_3ad5ee2d,Related-Numérico,PREVEN,product.field_product_product_weight, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,86,78,2,7,9,sga_ulma_integration.model_stock_move_line,False,9,standard_price,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3446_b82babb2,Alfanumerico,PREVEN,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,85,77,2,7,9,sga_ulma_integration.model_stock_move_line,False,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_603_7e1ff00d,Alfanumerico,OBS,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,126,87,0,40,40,sga_ulma_integration.model_stock_move_line,False,10,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1115_25ogu5la,Related-Alfanumérico,LOTE,stock.field_stock_move_line_lot_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,146,127,0,20,20,sga_ulma_integration.model_stock_move_line,False,11,ID,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3448_0bc81bd5,Alfanumerico,LOTE,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,145,126,0,20,20,sga_ulma_integration.model_stock_move_line,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3449_be9c6c17,Alfanumerico,KIT,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,146,146,0,1,1,sga_ulma_integration.model_stock_move_line,False,12,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3450_fc297b25,Alfanumerico,VIDAUTILMIN,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,149,147,0,3,3,sga_ulma_integration.model_stock_move_line,False,13,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3451_24b3349a,Alfanumerico,VIDAUTILMAX,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,152,150,0,3,3,sga_ulma_integration.model_stock_move_line,False,14,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_9_1s52a8w9,False,431,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,Creación de clientes,Contacto,,partner_reservation_days.model_res_partner,__export__.sgavar_file_var_875_f5b04cb9,Alfanumerico,DIR1,base.field_res_partner_street, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,134,95,0,40,40,partner_reservation_days.model_res_partner,False,7,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,TE0,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_3371_19dfacc7,Alfanumerico,DIR2,base.field_res_partner_city, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,174,135,0,40,40,partner_reservation_days.model_res_partner,False,8,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_783_a03f4f27,Related-Alfanumérico,DIR3,base.field_res_partner_state_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,214,175,0,40,40,partner_reservation_days.model_res_partner,False,9,name,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3342_98e28cb2,Related-Alfanumérico,DIR4,base.field_res_partner_country_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,254,215,0,40,40,partner_reservation_days.model_res_partner,False,10,name,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_913_c9917097,Numérico,POSCOD,base.field_res_partner_zip, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,260,255,0,6,6,partner_reservation_days.model_res_partner,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3388_16a698bf,Related-Alfanumérico,PAISCOD,base.field_res_partner_country_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,264,261,0,4,4,partner_reservation_days.model_res_partner,False,12,code,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_878_344a1b80,Alfanumerico,PERAJU,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,265,265,0,1,1,partner_reservation_days.model_res_partner,False,13,N,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_3357_57492d7c,Alfanumerico,CNTEXPTIP,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,269,266,0,4,4,partner_reservation_days.model_res_partner,False,14,PL,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_715_51f32d0e,Alfanumerico,NUMTELSMS,base.field_res_partner_mobile, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,349,270,0,80,80,partner_reservation_days.model_res_partner,False,15,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1059_693a7f23,Alfanumerico,NUMTELFAX,partner_fax.field_res_partner_fax, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,429,350,0,80,80,partner_reservation_days.model_res_partner,False,16,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
