id,version_active,file_bytes,cte_name,model,file_filter,odoo_model/id,description,code,version,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default
,,,,,,,,,,__export__.sgavar_file_var_604_565bdd97,Alfanumerico,ALMREF,, ,23,22,0,2,2,sga_ulma_integration.model_stock_picking,True,3,1
,,,,,,,,,,__export__.sgavar_file_var_605_00359abb,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,39,24,0,16,16,sga_ulma_integration.model_stock_picking,True,4,ref
,,,,,,,,,,__export__.sgavar_file_var_606_cf1f2606,Alfanumerico,TERPROREF,, ,55,40,0,16,16,sga_ulma_integration.model_stock_picking,False,5,
,,,,,,,,,,__export__.sgavar_file_var_607_2ef0be44,Alfanumerico,EXPORDTIP,, ,59,56,0,4,4,sga_ulma_integration.model_stock_picking,False,6,
,,,,,,,,,,__export__.sgavar_file_var_608_48926fd0,Alfanumerico,EXPORDSUBTIP,, ,63,60,0,4,4,sga_ulma_integration.model_stock_picking,False,7,
,,,,,,,,,,__export__.sgavar_file_var_609_6d8480f9,Alfanumerico,ALBARA,, ,75,64,0,12,12,sga_ulma_integration.model_stock_picking,False,8,
,,,,,,,,,,__export__.sgavar_file_var_611_a4cf6690,Fecha,FECEXP,stock.field_stock_picking_scheduled_date, ,83,76,0,8,8,sga_ulma_integration.model_stock_picking,False,9,
,,,,,,,,,,__export__.sgavar_file_var_612_a069dd96,Hora,HOREXP,stock.field_stock_picking_scheduled_date, ,87,84,0,4,4,sga_ulma_integration.model_stock_picking,False,10,
,,,,,,,,,,__export__.sgavar_file_var_614_14fb10b7,Alfanumerico,OBS,stock.field_stock_picking_note, ,127,88,0,40,40,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_615_c4ca287f,Alfanumerico,PRVCAMCOM,, ,286,128,0,160,160,sga_ulma_integration.model_stock_picking,True,12,
,,,,,,,,,,__export__.sgavar_file_var_1084_c7d1e57d,Alfanumerico,AGROEXGENACC,,,301,287,0,166,16,sga_ulma_integration.model_stock_picking,False,13,
,,,,,,,,,,__export__.sgavar_file_var_601_12c468d6,one2many,MOVE_LINE,stock.field_stock_picking_move_line_ids,,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,14,CEL
,,,,,,,,,,__export__.sgavar_file_var_1112_74f4b9fe,one2many,CONTENT_LINES,stock.field_stock_picking_move_line_ids, ,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,15,CEN
,,,,,,,,,,__export__.sgavar_file_var_617_52f6f4f2,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_move_line,True,1,AG
