"id","version_active","file_bytes","cte_name","model","file_filter","odoo_model/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/length","sga_file_var_ids/odoo_model/id","sga_file_var_ids/required","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"","","","","","","","Alfanumerico","CNTEXPTIP",""," ","269","266","0","4","4","stock_move_selection_wzd.model_res_partner","False","14","PL","","",""
"","","","","","","","Alfanumerico","NUMTELSMS","base.field_res_partner_mobile"," ","349","270","0","80","80","stock_move_selection_wzd.model_res_partner","False","15","","","",""
"","","","","","","","Alfanumerico","NUMTELFAX","partner_fax.field_res_partner_fax"," ","429","350","0","80","80","stock_move_selection_wzd.model_res_partner","False","16","","","",""
"","","","","","","","Alfanumerico","EMAILD","base.field_res_partner_email"," ","509","430","0","80","80","stock_move_selection_wzd.model_res_partner","False","17","","","",""
"","","","","","","","Alfanumerico","CNTEXPTIPCAJ",""," ","513","510","0","4","4","stock_move_selection_wzd.model_res_partner","False","18","","","",""
"","","","","","","","Alfanumerico","POSCODINT",""," ","521","514","0","8","8","stock_move_selection_wzd.model_res_partner","False","19","","","",""
"__export__.sgavar_file_12_1s52afw1","False","203","Creación Producto","Producto","","stock_available_global.model_product_product","Alfanumerico","TIPREG",""," ","4","1","0","4","4","stock_available_global.model_product_product","True","0","AR ","","AR0","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","stock_available_global.model_product_product","True","1","AG","","",""
"","","","","","","","Alfanumerico","ARTREF","product.field_product_template_default_code"," ","22","7","0","16","16","stock_available_global.model_product_product","True","2","","","",""
"","","","","","","","Alfanumerico","ARTDES","product.field_product_template_name"," ","62","23","0","40","40","stock_available_global.model_product_product","True","3","","","",""
"","","","","","","","Alfanumerico","ARTPRIREF",""," ","78","63","0","16","16","stock_available_global.model_product_product","False","4","","","",""
"","","","","","","","Alfanumerico","ROTTIP",""," ","82","79","0","4","4","stock_available_global.model_product_product","True","5","FE","","",""
"","","","","","","","Alfanumerico","DIACAD",""," ","87","83","0","5","5","stock_available_global.model_product_product","False","6","","","",""
"","","","","","","","Alfanumerico","DIACADMAX",""," ","92","88","0","5","5","stock_available_global.model_product_product","False","7","","","",""
"","","","","","","","Alfanumerico","DIAMINCADEXP",""," ","97","93","0","5","5","stock_available_global.model_product_product","False","8","","","",""
"","","","","","","","Alfanumerico","LOTREQ",""," ","98","98","0","1","1","stock_available_global.model_product_product","False","9","","","",""
"","","","","","","","Alfanumerico","PESVAR",""," ","99","99","0","1","1","stock_available_global.model_product_product","False","10","N","","",""
"","","","","","","","Alfanumerico","SINEAN",""," ","100","100","0","1","1","stock_available_global.model_product_product","False","11","","","",""
"","","","","","","","Alfanumerico","UNIMIN",""," ","104","101","0","4","4","stock_available_global.model_product_product","True","12","UD","","",""
"","","","","","","","Alfanumerico","UNIREC",""," ","108","105","0","4","4","stock_available_global.model_product_product","True","13","UD","","",""
"","","","","","","","Alfanumerico","UNIALM",""," ","112","109","0","4","4","stock_available_global.model_product_product","True","14","UD","","",""
"","","","","","","","Alfanumerico","UNIEXP",""," ","116","113","0","4","4","stock_available_global.model_product_product","True","15","UD","","",""
"","","","","","","","Alfanumerico","GESSER",""," ","117","117","0","1","1","stock_available_global.model_product_product","False","16","N","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","133","118","0","16","16","stock_available_global.model_product_product","False","17","","","",""
"","","","","","","","Alfanumerico","SITINI",""," ","137","134","0","4","4","stock_available_global.model_product_product","False","18","OK","","",""
