"id","version_active","file_bytes","create_uid/id","create_date","cte_name","file_filter","write_uid/id","write_date","model","odoo_model/id","sga_file_var_ids/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/create_uid/id","sga_file_var_ids/create_date","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/write_uid/id","sga_file_var_ids/write_date","sga_file_var_ids/length","sga_file_var_ids/required","sga_file_var_ids/odoo_model/id","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"","","","","","","","","","","","__export__.sgavar_file_var_607_2ef0be44","Alfanumerico","EXPORDTIP",""," ","","","59","56","0","4","__export__.res_users_5_246af995","2019-06-10 10:43:23","4","False","mrp_bom_phantom_fix.model_stock_picking","6","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_608_48926fd0","Alfanumerico","EXPORDSUBTIP",""," ","","","63","60","0","4","__export__.res_users_5_246af995","2019-06-10 10:43:23","4","False","mrp_bom_phantom_fix.model_stock_picking","7","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_609_6d8480f9","Alfanumerico","ALBARA",""," ","","","75","64","0","12","__export__.res_users_5_246af995","2019-06-10 10:43:23","12","False","mrp_bom_phantom_fix.model_stock_picking","8","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_611_a4cf6690","Fecha","FECEXP","stock.field_stock_picking_scheduled_date"," ","","","83","76","0","8","__export__.res_users_5_246af995","2019-06-10 10:43:23","8","False","mrp_bom_phantom_fix.model_stock_picking","9","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_612_a069dd96","Hora","HOREXP","stock.field_stock_picking_scheduled_date"," ","","","87","84","0","4","__export__.res_users_5_246af995","2019-06-10 10:43:23","4","False","mrp_bom_phantom_fix.model_stock_picking","10","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_614_14fb10b7","Alfanumerico","OBS","stock.field_stock_picking_note"," ","","","127","88","0","40","__export__.res_users_5_246af995","2019-06-10 10:43:23","40","False","mrp_bom_phantom_fix.model_stock_picking","11","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_615_c4ca287f","Alfanumerico","PRVCAMCOM",""," ","","","286","128","0","160","__export__.res_users_5_246af995","2019-06-10 10:43:23","160","True","mrp_bom_phantom_fix.model_stock_picking","12","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_1084_c7d1e57d","Alfanumerico","AGROEXGENACC","","","__export__.res_users_5_246af995","2019-06-10 09:51:20","301","287","0","166","__export__.res_users_5_246af995","2019-06-10 10:43:23","16","False","mrp_bom_phantom_fix.model_stock_picking","13","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_601_12c468d6","one2many","MOVE_LINE","stock.field_stock_picking_move_line_ids","","","","0","0","0","0","__export__.res_users_5_246af995","2019-06-11 11:25:26","0","True","mrp_bom_phantom_fix.model_stock_picking","14","CEL","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_1112_74f4b9fe","one2many","CONTENT_LINES","stock.field_stock_picking_move_line_ids"," ","__export__.res_users_5_246af995","2019-06-10 10:42:03","0","0","0","0","__export__.res_users_5_246af995","2019-06-11 11:25:26","0","True","mrp_bom_phantom_fix.model_stock_picking","15","CEN","","",""
"sga_adaia_integration.sgvar_file_reception_order_line","False","110","base.user_root","2019-05-29 07:56:20","Orden de recepción, líneas","","__export__.res_users_5_246af995","2019-06-07 11:28:48","Operación de empaquetado","mrp.model_stock_move_line","__export__.sgavar_file_var_616_2c21c95d","Alfanumerico","TIPREG",""," ","","","4","1","0","4","","","4","True","mrp.model_stock_move_line","0","ORLI","","ORL","0"
"","","","","","","","","","","","__export__.sgavar_file_var_617_52f6f4f2","Alfanumerico","ACCION",""," ","","","6","5","0","2","","","2","True","mrp.model_stock_move_line","1","AG","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_618_5137a78d","Alfanumerico","RECORDREF","stock.field_stock_move_line_reference"," ","","","22","7","0","16","","","16","True","mrp.model_stock_move_line","2","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_619_1a49ce0f","Alfanumerico","ARTREF",""," ","","","38","23","0","16","","","16","True","mrp.model_stock_move_line","3","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_620_04c1127f","Numerico","CANPED","stock.field_stock_move_line_ordered_qty"," ","","","47","39","0","9","","","9","True","mrp.model_stock_move_line","4","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_621_9d874f9f","Alfanumerico","TIPUNI",""," ","","","51","48","0","4","","","4","True","mrp.model_stock_move_line","5","UD","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_622_d67291e6","Related-Numérico","NUMUNI","stock.field_stock_move_line_product_uom_id"," ","","","59","52","0","8","","","8","True","mrp.model_stock_move_line","6","factor","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_623_e6f077dc","Related-Numérico","PESPED","stock.field_stock_move_line_product_id"," ","","","68","60","3","3","__export__.res_users_5_246af995","2019-06-07 11:28:48","6","False","mrp.model_stock_move_line","7","weight","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_624_b68a6d18","Related-Numérico","PRECOM","stock.field_stock_move_line_product_id"," ","","","77","69","2","7","__export__.res_users_5_246af995","2019-06-07 11:28:48","9","False","mrp.model_stock_move_line","8","standard_price","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_625_d46cb9f5","Alfanumerico","ADMCANMAY",""," ","","","78","78","0","1","","","1","False","mrp.model_stock_move_line","9","N","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_626_a22df7a7","Alfanumerico","ADMCANMEN",""," ","","","79","79","0","1","","","1","False","mrp.model_stock_move_line","10","N","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_627_83640e01","Alfanumerico","IGNCAD",""," ","","","80","80","0","1","","","1","False","mrp.model_stock_move_line","11","N","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_628_7cc2ebe9","Alfanumerico","CTRCAL",""," ","","","81","81","0","1","","","1","False","mrp.model_stock_move_line","12","N","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_629_41d074c8","Numerico","RECORDLIN","stock.field_stock_move_line_id"," ","","","90","82","0","9","","","9","False","mrp.model_stock_move_line","13","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_630_cbefac6b","Numerico","ADMCANMAYPOR",""," ","","","93","91","0","3","","","3","False","mrp.model_stock_move_line","14","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_631_d9d6ebf7","Alfanumerico","LOTE","stock.field_stock_move_line_lot_name"," ","","","103","94","0","20","","","20","False","mrp.model_stock_move_line","15","","","",""
"sga_adaia_integration.sgvar_file_confirmation_reception_order_line","False","167","base.user_root","2019-05-29 07:56:20","Confirmación de recepción, líneas","","base.user_root","2019-05-29 07:56:20","Operación de empaquetado","mrp.model_stock_move_line","__export__.sgavar_file_var_632_b376b9a5","Alfanumerico","TIPREG",""," ","","","4","1","0","4","","","4","True","mrp.model_stock_move_line","0","CRLI","","CRL","0"
"","","","","","","","","","","","__export__.sgavar_file_var_633_a326107c","Alfanumerico","ACCION",""," ","","","6","5","0","2","","","2","True","mrp.model_stock_move_line","1","AG","","",""
